RespondentID,Which category below includes your age?,Are you male or female?,What graduate program are you pursuing?,What graduate program are you pursuing? - Other (please specify),Are you a full-time graduate student?,Are you an International Student?,In which type of housing do you currently live?,In which type of housing do you currently live? - Other (please specify),What is the size of your current household?,"In a typical month, about how much money do you spend on rent/mortgage and utilities?",Is there a need for a graduate student residence hall on Texas Tech’s campus?,"If on-campus graduate housing had been available at the time you were admitted to Texas Tech, how likely would you have been to apply to live in such housing?",What types of residence would you be interested in? (Check all that apply.) - Studio/efficiency,What types of residence would you be interested in? (Check all that apply.) - 1 bedroom apt,What types of residence would you be interested in? (Check all that apply.) - 2 bedroom apt with shared bathroom,What types of residence would you be interested in? (Check all that apply.) - 3 bedroom apt with shared bathroom,What types of residence would you be interested in? (Check all that apply.) - I am not interested in on-campus housing,What types of residence would you be interested in? (Check all that apply.) - Other (please specify),How important is each of the following for a graduate student residence hall? - Child care,How important is each of the following for a graduate student residence hall? - Playground space,How important is each of the following for a graduate student residence hall? - Entertainment spaces (e.g. movie theater),How important is each of the following for a graduate student residence hall? - Alcohol allowed inside a residence,How important is each of the following for a graduate student residence hall? - Low cost,How important is each of the following for a graduate student residence hall? - Modern appliances,How important is each of the following for a graduate student residence hall? - Minimal grocery store,How important is each of the following for a graduate student residence hall? - Optional dining plan available,How important is each of the following for a graduate student residence hall? - Other,"How important is each of the following for a graduate student residence hall? - Please specify ""Other""",How likely would you be to live in a graduate student only residence hall if Texas Tech offered one? - ,Would you expect to pay more or less for rent and utilities in a graduate student residence hall than you pay now?,Would you choose NOT to live in a graduate residence hall if the university filled open rooms with undergraduate students?,Would you choose NOT to live in a graduate residence hall if it were next to an undergraduate residence hall?,How would you usually move around campus if the graduate student residence hall were on campus but a mile or more from the Student Union Building (SUB)? ,How would you usually move around campus if the graduate student residence hall were on campus but a mile or more from the Student Union Building (SUB)?  - Other (please specify),"If a graduate student residence hall is added to Texas Tech’s campus, what suggestions would you give building planners? - Open-Ended Response"
2371985276,21 to 25,Male,Master’s,,Yes,No,Apartment,,2 bedrooms,$400 to $600,Yes,Very likely,,1 bedroom apt,,,,,important,somewhat important,somewhat important,most important,most important,most important,most important,not important,,,Likely,Pay about the same,Yes,Yes,Walk,,
2371986454,26 to 35,Male,Master’s,,Yes,No,Duplex,,3 bedrooms,$400 to $600,Yes,Very likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,,important,not important,not important,most important,most important,most important,not important,somewhat important,,,Likely,Pay about the same,Yes,No,Walk,,Make it as noise protected as possible
2371988469,36 to 45,Male,Master’s,,No,No,Single-family house,,More than 3 bedrooms,"$1,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,
2372006173,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,Studio / Efficiency,Less than $400,No,Somewhat likely,Studio/efficiency,1 bedroom apt,,,,,not important,not important,not important,somewhat important,most important,somewhat important,not important,somewhat important,most important,Firearms/weapons allowed in the residence,Neutral,Pay more,Yes,No,Car,,
2372013858,26 to 35,Male,Doctoral,,Yes,No,Single-family house,,3 bedrooms,$400 to $600,Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,,,,,not important,not important,not important,important,most important,not important,somewhat important,not important,important,Pets Allowed (dogs),Likely,Pay less,No,No,Bike,,Pets Allowed (dogs)
2372020780,26 to 35,Female,Doctoral,,Yes,No,Apartment,,1 bedroom,$600 to $800,Yes,Somewhat likely,,1 bedroom apt,,,,,not important,not important,not important,important,most important,important,important,somewhat important,,,Neutral,Pay less,Yes,No,Bus,,
2372025055,26 to 35,Female,Master’s,,Yes,No,Single-family house,,3 bedrooms,Less than $400,Yes,Not likely at all,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,,,important,somewhat important,somewhat important,most important,most important,somewhat important,important,most important,,,Neutral,Pay less,Yes,No,Walk,walk and bike and maybe bus,"If undergraduates were living in the dorm as well, it would be nice if they were in a separate wing."
2372028131,26 to 35,Female,Master’s,,Yes,No,Single-family house,,More than 3 bedrooms,$400 to $600,Yes,Somewhat likely,,1 bedroom apt,2 bedroom apt with shared bathroom,,,,most important,most important,important,important,important,important,most important,most important,,,Likely,Pay about the same,Yes,Yes,Walk,,
2372039890,21 to 25,Female,Master’s,,Yes,No,Apartment,,2 bedrooms,Less than $400,,,,,,,,,,,,,,,,,,,,,,,,,
2372041003,21 to 25,Female,Master’s,,Yes,No,Single-family house,,3 bedrooms,$400 to $600,No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,most important,most important,most important,most important,most important,most important,not important,,Unlikely,Pay less,Yes,Yes,Bus,,
2372046185,21 to 25,Female,Master’s,,Yes,No,Apartment,,More than 3 bedrooms,$600 to $800,Yes,Likely,,1 bedroom apt,,,,,not important,not important,important,important,most important,most important,important,somewhat important,,,Likely,Pay less,Yes,No,Walk,,
2372049022,26 to 35,Female,Master’s,,Yes,Yes,Single-family house,,More than 3 bedrooms,$600 to $800,,,,,,,,,,,,,,,,,,,,,,,,,
2372058002,36 to 45,Male,Master’s,,Yes,No,,,3 bedrooms,$600 to $800,Yes,Very likely,,1 bedroom apt,,,,,somewhat important,somewhat important,most important,important,most important,important,important,most important,,,,Pay less,No,No,Walk,,
2372063591,36 to 45,Male,Doctoral,,Yes,Yes,Condominium,,2 bedrooms,$400 to $600,Yes,Very likely,,,2 bedroom apt with shared bathroom,,,2 bedrooms and 2 bathrooms,important,somewhat important,not important,not important,somewhat important,somewhat important,somewhat important,not important,most important,shuttle service (if out of campus),Likely,Pay about the same,Yes,No,Bus,,Consider the need of silence and respectful environment.   Many graduate students will be married and have children.
2372072590,21 to 25,Female,Doctoral,,Yes,No,Apartment,,1 bedroom,$600 to $800,No,Not likely at all,,,,,I am not interested in on-campus housing,,,,,,,,,,,,Unlikely,Pay about the same,,Yes,,,
2372077813,36 to 45,Female,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Very likely,,,2 bedroom apt with shared bathroom,,,,most important,most important,important,not important,most important,most important,most important,not important,most important,It is very important to have graduate student family housing as other universities do.,Unlikely,Pay less,Yes,No,Walk,,"Is this survey addressing graduate student family housing for those hwo have kids? If it does not, that is a very important issue to address. Family housing is very important because off-campus housing makes lot of problems, such as transportation problems(  apartments like Heritage does not have bus servise and it is very difficult to walk from there specially in Winter. I hope this survery should address this problem and graduate family housing is very important to consider for TTU. So, grad student residence hall should have two bedroom or one bedroom apartments."
2372078095,21 to 25,Female,Master’s,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Somewhat likely,,1 bedroom apt,,,,,important,most important,somewhat important,important,most important,important,most important,important,,,Neutral,Pay less,Yes,Yes,Walk,,A place where graduate students can live without worrying about anything else but studies.
2372089452,46 or older,Female,Doctoral,,,Yes,Single-family house,,2 bedrooms,"$800 to $1,000",Yes,Likely,Studio/efficiency,1 bedroom apt,,,,,not important,not important,not important,somewhat important,most important,important,somewhat important,not important,,"Quiet, private",Likely,Pay less,Yes,No,Bus,transportation would be important especially at night,"I do not like room-mates - if a grad hall had been available, affordable, and offered a studio with washer/dryer hookup, I would have taken that. Since it was not, my husband came and we rented a house. I smoke, and would like to have a balcony to smoke outside the apt. As a theatre student and the potential to be involved in rehearsals that go late at night, I would need a safe way to get back and forth, or free parking at the complex so I could have a car to use for those late nights. If the building next to the grad building was not too close (outside noise would not penetrate the apt.) being next door would not be a problem, but if the noise of parties, the thumping of music penetrated the apt that would be impossible to deal with!"
2372102827,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Somewhat likely,,1 bedroom apt,,,,,not important,not important,not important,most important,most important,somewhat important,not important,not important,,,Likely,Pay about the same,Yes,No,Bus,,
2372103108,36 to 45,Female,Doctoral,,Yes,No,Duplex,,3 bedrooms,"$1,000 or more",Yes,Very likely,,1 bedroom apt,2 bedroom apt with shared bathroom,,,a place that allows for a child,not important,most important,not important,not important,somewhat important,not important,not important,not important,,safety and privacy,Likely,Pay less,Yes,Yes,Bus,,make some apartments available for small families or single parents
2372106676,26 to 35,Female,Master’s,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Likely,,1 bedroom apt,2 bedroom apt with shared bathroom,,,,somewhat important,not important,not important,not important,most important,somewhat important,important,not important,,,Likely,Pay about the same,No,No,Bus,,more one or 2 bedroom apartments. should have a common laundry near by.
2372112424,26 to 35,Female,Master’s,,No,No,Duplex,,2 bedrooms,$600 to $800,Yes,Somewhat likely,Studio/efficiency,,2 bedroom apt with shared bathroom,,,,somewhat important,somewhat important,somewhat important,somewhat important,most important,most important,important,important,,,Neutral,Pay less,Yes,No,Bike,,
2372113789,36 to 45,Female,Doctoral,,Yes,No,Single-family house,,3 bedrooms,"$1,000 or more",No,Not likely at all,,,,,I am not interested in on-campus housing,,important,somewhat important,not important,not important,most important,important,important,not important,most important,Free parking,Unlikely,Pay less,Yes,Yes,Car,,Make the building fully equipped with free wi-fi.
2372118960,21 to 25,Male,Master’s,,Yes,No,Apartment,,More than 3 bedrooms,$400 to $600,No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,not important,somewhat important,most important,somewhat important,important,important,not important,,Unlikely,Pay about the same,No,No,Bike,,
2372119549,21 to 25,Female,Master’s,,Yes,No,Apartment,,1 bedroom,$400 to $600,No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,somewhat important,not important,important,important,somewhat important,not important,not important,,Unlikely,Pay about the same,Yes,Yes,Walk,,Well insulated sound proof walls!
2372130393,26 to 35,Female,Doctoral,,Yes,No,Single-family house,,3 bedrooms,"$800 to $1,000",Yes,Likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,,,important,important,not important,not important,most important,somewhat important,somewhat important,most important,,,Unlikely,Pay less,Yes,No,Walk,,It would be important to have space available for graduate students that have families - this may be people with spouses and/or children. I think it is important to have space or floors that are seperate for single graduate students and space for graduate students with families. Graduate student housing is very important to have on the TTU campus as this would help boost graduate enrollment.
2372141203,26 to 35,Male,Doctoral,,Yes,No,Townhouse,,2 bedrooms,$600 to $800,Yes,Very likely,,1 bedroom apt,2 bedroom apt with shared bathroom,,,,not important,not important,somewhat important,not important,not important,important,somewhat important,not important,,,Likely,Pay less,,No,Walk,,
2372142922,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Likely,,1 bedroom apt,,,,,somewhat important,somewhat important,important,somewhat important,most important,important,most important,important,,,Neutral,Pay less,,,Walk,,
2372143379,26 to 35,Male,Master’s,,Yes,No,Apartment,,More than 3 bedrooms,$400 to $600,Yes,Very likely,,,2 bedroom apt with shared bathroom,,,,not important,important,somewhat important,most important,most important,most important,important,somewhat important,,,Likely,Pay less,No,No,Bike,,
2372151785,46 or older,Male,Doctoral,,Yes,No,Duplex,,2 bedrooms,$400 to $600,Yes,Very likely,,1 bedroom apt,,,,,not important,not important,important,somewhat important,most important,important,somewhat important,not important,,,Likely,Pay less,Yes,No,Bike,,
2372154110,46 or older,Female,Doctoral,,,No,Single-family house,,3 bedrooms,"$1,000 or more",Yes,Very likely,,1 bedroom apt,,,,,not important,not important,not important,most important,somewhat important,most important,important,not important,,,Likely,Pay about the same,Yes,No,Bike,,"I lived off campus, but if given the choice, I would have lived on campus.  I would not mind living near UG, but not in the same building.  I moved to Lubbock without my family and I would want a one bedroom so, that my family could visit."
2372160586,21 to 25,Male,Master’s,,Yes,No,Apartment,,1 bedroom,$600 to $800,Yes,Likely,,1 bedroom apt,2 bedroom apt with shared bathroom,,,,not important,not important,important,not important,most important,important,not important,not important,not important,,Likely,Pay about the same,Yes,Yes,Bus,,
2372162054,21 to 25,Female,Master’s,,Yes,No,Apartment,,2 bedrooms,$400 to $600,Yes,Somewhat likely,,,,,,2-3 bedroom apartment with own bathrooms,not important,not important,not important,most important,most important,important,not important,somewhat important,most important,personal bathrooms,Likely,Pay less,Yes,Yes,Walk,,"Personal bathrooms are a must...at least a personal sink area in each room with a shared toilet/tub. And a full kitchen, even if shared."
2372167303,26 to 35,Female,Master’s,,Yes,No,Apartment,,2 bedrooms,"$800 to $1,000",No,Not likely at all,,,,,I am not interested in on-campus housing,,most important,important,not important,important,most important,important,most important,somewhat important,,,Unlikely,Pay less,Yes,No,Bike,,
2372170968,26 to 35,Female,Master’s,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Somewhat likely,Studio/efficiency,,,,,,somewhat important,somewhat important,most important,most important,most important,most important,most important,somewhat important,,,Neutral,Pay about the same,Yes,Yes,Bus,,
2372174158,21 to 25,Male,Master’s,,Yes,No,Apartment,,2 bedrooms,$400 to $600,No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,somewhat important,somewhat important,important,important,important,not important,not important,,Unlikely,Pay less,No,No,Car,,
2372181559,46 or older,Male,Master’s,,No,No,Duplex,,3 bedrooms,"$1,000 or more",Yes,Not likely at all,,,,,I am not interested in on-campus housing,,somewhat important,somewhat important,somewhat important,not important,important,important,important,somewhat important,,,Neutral,Pay less,No,No,Walk,,"A ""quiet"" common area on an upper floor."
2372187518,26 to 35,Female,Master’s,,Yes,Yes,Apartment,,1 bedroom,Less than $400,Yes,Somewhat likely,,1 bedroom apt,,,,,not important,not important,not important,somewhat important,most important,not important,somewhat important,not important,most important,"May not depend only on administrators, but some silence is very important! It means: no children, no pets, no instruments practice.",Neutral,Pay about the same,Yes,No,Bike,,"Make the best use of natural light, but take care of not favoring one side only, I mean: all units have some sun shinning in some moment of the day. Graduate students are in a moment in life they save resources and concentrate all energy on a career for their life. Enterteinment? Playground? What are those things?! And we do not need much space: in general, me and my classmates go home to sleep, literally! We spend our full day in the library or in the school, to work, to study, practice, talk to people."
2372188744,21 to 25,Male,Master’s,,No,No,Single-family house,,3 bedrooms,"$1,000 or more",Yes,Somewhat likely,,1 bedroom apt,,,,,not important,not important,somewhat important,important,somewhat important,most important,most important,somewhat important,,,Unlikely,Pay less,Yes,Yes,Bus,,
2372191166,26 to 35,Female,Doctoral,,Yes,No,Apartment,,1 bedroom,$600 to $800,Yes,Very likely,,1 bedroom apt,,,,,somewhat important,somewhat important,important,most important,most important,most important,not important,not important,most important,Family and dogs allowed,Likely,Pay less,Yes,Yes,Bus,,"Quiet, safety, and cleanliness are key. Ability to have family, friends, and pets would also be nice. We are not undergraduates, and we don't live like them. I can speak only for myself, but most of my nights are quiet and busy with homework and grading. And I need somewhere that I can feel safe."
2372200860,36 to 45,Female,Doctoral,,Yes,No,Single-family house,,3 bedrooms,"$1,000 or more",Yes,Very likely,,,,,,3 bedroom house/townhouse,important,important,not important,somewhat important,most important,not important,somewhat important,not important,,,Neutral,Pay less,Yes,No,Bus,,Family housing
2372202400,21 to 25,Male,Master’s,,Yes,Yes,Apartment,,1 bedroom,Less than $400,No,Somewhat likely,,1 bedroom apt,,,,,not important,not important,important,somewhat important,most important,important,important,somewhat important,,,Neutral,Pay less,No,No,Bus,,
2372205225,21 to 25,Male,Master’s,,Yes,No,Apartment,,1 bedroom,"$800 to $1,000",Yes,Somewhat likely,,,,,I am not interested in on-campus housing,,important,important,most important,most important,most important,most important,most important,important,,,Unlikely,Pay less,Yes,No,Bus,,make it big
2372207995,26 to 35,Female,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Likely,,,,,,1 br and bath with a separarte kitchen when both husband and wife are grad students,most important,important,somewhat important,not important,most important,somewhat important,most important,somewhat important,,a kitchen (not a shared one),Likely,Pay about the same,Yes,Yes,Walk,,"Most grad students have families. Both me and my husband are grad students. We prefer an apartment which has a bed room, bath room, a living room and a kitchen as a single unit. So we do not share it with another family. 650-700 sq feet is more than enough. If there are two bed rooms with same facilities I am sure that families with kids will love to live on campus. there are very few apartment complexes near Tech which has above features, namely, heritage apts, sierra crossogs and savoy. All the others are sg"
2372209674,26 to 35,Female,Doctoral,,Yes,Yes,Apartment,,2 bedrooms,$600 to $800,No,Somewhat likely,,1 bedroom apt,,,,2 bedroom with private bathroom,not important,not important,not important,not important,most important,important,not important,not important,not important,,Likely,Pay less,No,No,Bus,,Have private bathrooms and thick walls!
2372223655,36 to 45,Male,Doctoral,,Yes,No,Townhouse,,2 bedrooms,$400 to $600,Yes,Likely,,1 bedroom apt,2 bedroom apt with shared bathroom,,,,not important,not important,not important,not important,somewhat important,important,somewhat important,important,most important,internet connections of high quality,Likely,Pay less,Yes,Yes,Bike,,
2372227559,21 to 25,Female,Master’s,,Yes,No,Single-family house,,3 bedrooms,Less than $400,Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,,,not important,not important,not important,important,most important,important,not important,important,,,Likely,Pay about the same,Yes,No,Bike,,Make it affordable.
2372229737,26 to 35,Female,Master’s,,Yes,No,Apartment,,2 bedrooms,"$800 to $1,000",Yes,Somewhat likely,,,2 bedroom apt with shared bathroom,,,,most important,most important,not important,important,somewhat important,important,not important,somewhat important,,,Neutral,Pay about the same,Yes,Yes,Bus,,"It should be away from the other dorms, with its own parking garage. It would need to be family and pet friendly. I dont see why it needs to be on the campus proper, however. Many other universities have purchased university adjacent property, and turned that into graduate student housing. It is inappropriate to expect graduate students to cohabitate with undergrads that they are teaching--my spouse is a faculty member, so it would be completely inappropriate to live in a mixed housing facility (grad/undergrad)."
2372238703,21 to 25,Female,Doctoral,,Yes,No,Apartment,,1 bedroom,$600 to $800,Yes,Somewhat likely,,1 bedroom apt,,,,,important,somewhat important,important,important,important,important,important,important,,,Neutral,Pay less,Yes,Yes,Bus,,"Make sure there are plenty of places to study. Also, make sure to include an area where coffee is being sold."
2372242316,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,No,Somewhat likely,,1 bedroom apt,,,,,somewhat important,somewhat important,somewhat important,not important,most important,important,most important,important,somewhat important,,Neutral,Pay about the same,No,No,Walk,,
2372245246,26 to 35,Male,Master’s,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Very likely,,1 bedroom apt,,,,,important,important,most important,not important,most important,most important,somewhat important,most important,,,Likely,Pay about the same,Yes,Yes,Walk,,Just make one graduate student dorm
2372252315,36 to 45,Female,Doctoral,,Yes,No,Single-family house,,3 bedrooms,"$1,000 or more",Yes,Very likely,,,2 bedroom apt with shared bathroom,,,,important,important,somewhat important,important,most important,important,important,somewhat important,most important,backyard with an option/deposit for pets,Likely,Pay less,Yes,Yes,Walk,,I'm not interested in a residence hall. Many campuses much smaller than TTU offer single dwelling options with backyards to graduate students and form a small community adjacent to the campus.
2372282390,21 to 25,Male,Master’s,,Yes,No,Apartment,,More than 3 bedrooms,$400 to $600,No,Not likely at all,,,,,I am not interested in on-campus housing,,important,important,important,somewhat important,important,most important,not important,somewhat important,,,Unlikely,Pay about the same,No,No,Walk,,"One of the main problems I have with living on camous is that it promotes unhealthy eating habits. I would suggest that an area for cooking would be the most important factor if I were to consider living on campus. Also, there would have to be some type of change of the no alcohol policy and that in it self sounds like a tedious task."
2372283991,21 to 25,Male,Master’s,,Yes,No,Duplex,,2 bedrooms,Less than $400,Yes,Not likely at all,,,,,I am not interested in on-campus housing,,somewhat important,not important,important,most important,most important,most important,most important,most important,most important,Kitchen,Unlikely,Pay less,Yes,No,Bike,,"In my department, most graduate students seem to be international. Therefore, proximity to the necessary resources is very important. Also, most graduate students are mature adults. Therefore amenities such as a kitchen to cook in and alcohol allowed in the rooms are a must. A separate residence should be made for graduate students and undergraduate students to make a more cohesive research/study environment for each group. In any regard, I would not be able to live on-campus anyways since I have a dog and require a yard. The above are just my suggestions if it were possible for me to live on-campus. Thank you."
2372296692,26 to 35,Male,Master’s,,Yes,No,Apartment,,1 bedroom,"$800 to $1,000",Yes,Very likely,,1 bedroom apt,,,,,not important,not important,not important,important,most important,most important,important,most important,most important,Designated quiet hours (24/7),Likely,Pay less,No,No,Walk,,Dedicated soundproofing efforts
2372301440,26 to 35,Female,Doctoral,,Yes,No,Apartment,,2 bedrooms,"$800 to $1,000",No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,most important,most important,most important,most important,most important,most important,,,Unlikely,Pay less,Yes,No,Bike,,"I think it would be a great idea for the single grad students if it's not too expensive, but I have a husband and a dog who would despise living on campus. If I were single and didn't have a dog (assuming pets wouldn't be allowed) I would consider it if they had real, full kitchens so I didn't have to eat at a dining hall all the time."
2372308349,36 to 45,Female,Doctoral,,Yes,Yes,Townhouse,,3 bedrooms,$400 to $600,Yes,Not likely at all,,1 bedroom apt,,,,,somewhat important,not important,somewhat important,not important,most important,important,somewhat important,not important,not important,,Neutral,Pay about the same,Yes,No,Walk,,Cost
2372311529,26 to 35,Male,Doctoral,,Yes,No,Single-family house,,More than 3 bedrooms,"$1,000 or more",Yes,,,,,,,Does not apply I am Married,not important,not important,somewhat important,not important,most important,somewhat important,important,somewhat important,somewhat important,Spouse,Likely,Pay less,Yes,No,Bike,,Older students and many are international who would appreciate things that can not be brought over and quiet study areas
2372317544,21 to 25,Male,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$600 to $800,Yes,Very likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,,,important,important,somewhat important,not important,important,most important,most important,somewhat important,most important,Low rent and adequate facilities for student and family,Likely,Pay about the same,Yes,No,Walk,,Please plan a hall with separate apartment type housing having good amenities. It will be better if you please plan the spot near the engineering key. Try to accommodate as more students as possible in the housing.
2372345038,21 to 25,Male,Master’s,,Yes,Yes,Apartment,,2 bedrooms,Less than $400,Yes,Somewhat likely,,,2 bedroom apt with shared bathroom,,,,not important,not important,most important,important,most important,most important,most important,most important,,,Neutral,Pay less,Yes,Yes,Bus,,
2372347710,21 to 25,Female,Master’s,,Yes,No,Apartment,,More than 3 bedrooms,$400 to $600,Yes,Likely,,1 bedroom apt,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,,not important,not important,not important,not important,important,most important,somewhat important,most important,not important,,Likely,Pay about the same,Yes,No,Walk,,"Actual kitchens...basically an off-campus apartment, but ON campus."
2372355816,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$600 to $800,Yes,Likely,,1 bedroom apt,,,,,most important,somewhat important,not important,somewhat important,most important,important,not important,not important,,,Likely,Pay less,No,No,Bus,,The residence hall facilities should be suitable for families because most of the grad students have families with kids. If the residence halls have child care facilities that would be great.   For the most part one bedroom with a floor area of 700 -800 sqft is very good.  Two or three bed rooms are also very important.
2372384398,21 to 25,Female,Master’s,,Yes,No,Single-family house,,3 bedrooms,$400 to $600,Yes,Not likely at all,,,,,I am not interested in on-campus housing,,,important,important,important,most important,important,most important,most important,most important,,Unlikely,Pay about the same,Yes,No,Bike,,Needs full kitchens. Really important.
2372536365,26 to 35,Female,Doctoral,,Yes,Yes,Single-family house,,More than 3 bedrooms,"$800 to $1,000",Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,,,important,somewhat important,somewhat important,somewhat important,most important,somewhat important,most important,somewhat important,,,Unlikely,Pay about the same,Yes,No,Bike,,I think this is an excellent idea! I think the environment should be family friendly and low key.
2372589248,26 to 35,Male,Doctoral,,Yes,No,Other (please specify),Guest house,Studio / Efficiency,"$800 to $1,000",Yes,Likely,,1 bedroom apt,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,,somewhat important,important,somewhat important,important,somewhat important,important,somewhat important,not important,important,parking,Likely,Pay about the same,Yes,No,Walk,,"Some of the units should be family-friendly, so multiple bedrooms and kid-friendly amenities would be important to me."
2372650651,21 to 25,Male,Doctoral,,Yes,No,Apartment,,2 bedrooms,$600 to $800,No,Not likely at all,,,,,I am not interested in on-campus housing,,somewhat important,somewhat important,important,important,most important,important,important,important,,,Unlikely,Pay more,Yes,No,Bike,,White board rooms
2372670312,46 or older,Female,Master’s,,Yes,No,Townhouse,,3 bedrooms,"$1,000 or more",Yes,Not likely at all,,,,,I am not interested in on-campus housing,,somewhat important,somewhat important,not important,not important,important,important,important,important,most important,Allowing spouses of students to reside in housing w/student,Neutral,Pay less,Yes,No,Walk,,"Needs to be strictly for graduate students, single or married.  Also, maybe with children."
2372702360,21 to 25,Female,Master’s,,Yes,No,Duplex,,2 bedrooms,$600 to $800,No,Not likely at all,,,,,I am not interested in on-campus housing,,somewhat important,somewhat important,important,most important,most important,most important,important,not important,,,Unlikely,Pay about the same,No,No,Bike,,Make it competitive with other apartments in the area.  There are some cheap apartments with nice new appliances and features.  Invest in some soundproofing because some of us are still in party mode and some are in hardcore study mode.
2372711697,26 to 35,Male,Doctoral,,Yes,No,Single-family house,,3 bedrooms,"$1,000 or more",No,Somewhat likely,,,,,I am not interested in on-campus housing,,not important,not important,not important,somewhat important,important,important,important,important,,,Unlikely,Pay about the same,Yes,No,Walk,,
2372795575,21 to 25,Female,Master’s,,Yes,No,I currently live in on-campus housing,,1 bedroom,$400 to $600,Yes,I currently live in on-campus housing,,1 bedroom apt,,,,3 bedroom with individual bathrooms,somewhat important,not important,important,somewhat important,most important,most important,important,somewhat important,,,Likely,Pay about the same,Yes,No,Bus,,"If it is very far away from the center of campus, have a lot grad students can park in to get to their classes and research easily."
2372802717,26 to 35,Female,Master’s,,Yes,Yes,Townhouse,,1 bedroom,$600 to $800,Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,,,,,not important,not important,not important,not important,most important,not important,not important,not important,not important,,Neutral,Pay more,No,No,Car,,"Make the commute to the graduate student buildings convenient, within a 5 minute walking distance."
2372820353,36 to 45,Female,Doctoral,,No,No,Single-family house,,2 bedrooms,$600 to $800,Yes,Somewhat likely,,,2 bedroom apt with shared bathroom,,,,most important,most important,somewhat important,not important,most important,important,important,important,,,Likely,Pay less,Yes,Yes,Walk,,
2372821322,21 to 25,Female,Master’s,,Yes,No,Apartment,,2 bedrooms,$400 to $600,Yes,Very likely,Studio/efficiency,1 bedroom apt,,,,,important,important,somewhat important,not important,most important,most important,most important,important,,,Likely,Pay more,Yes,No,Car,,I would like it to include a good-sized computer lab with printers.
2372821745,36 to 45,Female,Master’s,,Yes,No,Single-family house,,3 bedrooms,"$1,000 or more",Yes,Not likely at all,,,,,I am not interested in on-campus housing,,somewhat important,somewhat important,,most important,important,most important,most important,most important,,,Unlikely,Pay less,Yes,No,Bike,,To ensure that there is enough parking for the graduate residents.
2372836106,21 to 25,Female,Doctoral,,Yes,No,Apartment,,1 bedroom,$400 to $600,No,Somewhat likely,,1 bedroom apt,,,,,somewhat important,not important,important,somewhat important,most important,most important,most important,most important,,,Neutral,Pay less,Yes,Yes,Walk,,
2372838585,26 to 35,Male,Doctoral,,Yes,No,Single-family house,,2 bedrooms,$600 to $800,No,Not likely at all,,,,,I am not interested in on-campus housing,,somewhat important,somewhat important,not important,not important,important,important,somewhat important,somewhat important,not important,,Unlikely,Pay about the same,No,No,Walk,,
2372864690,26 to 35,Male,Master’s,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Likely,,1 bedroom apt,,,,,important,important,not important,important,most important,somewhat important,important,not important,most important,Laundry,Likely,Pay about the same,Yes,No,Bike,,
2372869147,46 or older,Female,Master’s,,No,No,Other (please specify),My own home,3 bedrooms,"$1,000 or more",No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,not important,not important,not important,not important,not important,not important,,,Unlikely,Pay less,Yes,Yes,Car,,
2372887850,36 to 45,Male,Master’s,,No,No,Single-family house,,More than 3 bedrooms,"$800 to $1,000",Yes,Not likely at all,,,,,I am not interested in on-campus housing,,important,important,somewhat important,important,important,important,important,somewhat important,,,Unlikely,Pay about the same,No,No,Bike,,I would fill open rooms with honors students.
